Network             Gradient x Width         % Difference from Nominal Value
LVRET_P             0.000735295366873        -38.7253860939                
I2CGND              0.00105760542227         -11.8662148109                
HV2A                0.00136782680855         13.9855673789                 
R3_L1-1             0.00111106201743         -7.41149854753                
R3_L1-3             0.00116268610438         -3.10949130182                
R3_L1-2             0.000982758373523        -18.1034688731                
HVRET               0.00107112575749         -10.7395202089                
R3_L1+3             0.00116656228108         -2.78647657633                
R3_L1+2             0.00115830285617         -3.47476198583                
R3_L1+1             0.00117789572724         -1.84202273009                
CMD_L0-             0.0048444890354          303.707419617                 
CMD_L0+             0.000948057150487        -20.9952374594                
HV4A                0.0014820564281          23.5047023417                 
-DATA               0.00107801508547         -10.165409544                 
BC_STAVE+           0.00183227625088         52.6896875734                 
I2CCLK              0.00108702485804         -9.41459516357                
BC_STAVE-           0.00403649087728         236.374239773                 
+DATA               0.00111629989181         -6.97500901565                
LVPOS               0.000909620991254        -24.1982507289                
ACGND2              0.000967388450154        -19.3842958205                
BC_STAVE-1          0.00104360399268         -13.0330006104                
BC_STAVE-2          0.00112025655231         -6.64528730738                
BC_STAVE-3          0.00113342127205         -5.54822732882                
HV3A                0.00130065158532         8.38763210968                 
HV1A                0.00142594325394         18.8286044952                 
BC_STAVE+2          0.00113339952334         -5.55003972197                
BC_STAVE+3          0.00109672621387         -8.60614884398                
BC_STAVE+1          0.00117018703518         -2.48441373462                
I2CDAT              0.00107803078295         -10.1641014206                
R3_L1+              0.0106330289429          786.085745241                 
R3_L1-              0.00188235294118         56.862745098                  
CMD_L0-1            0.0010508421805          -12.4298182915                
CMD_L0-2            0.00110441004766         -7.96582936188                
CMD_L0-3            0.00120428536194         0.357113494802                
CMD_L0+2            0.00106842508946         -10.964575878                 
CMD_L0+3            0.000985016495021        -17.9152920816                
CMD_L0+1            0.00125993695438         4.9947461985                  
