Network             Gradient x Width         % Difference from Nominal Value
LVRET_P             0.000330209460655        -72.4825449454                
I2CGND              0.00107309481915         -10.5754317372                
HV2A                0.00131863850187         9.88654182218                 
R3_L1-1             0.00101449570298         -15.4586914184                
R3_L1-3             0.00110468905733         -7.94257855586                
R3_L1-2             0.000961429802613        -19.8808497822                
HVRET               0.00108749414031         -9.37548830748                
R3_L1+3             0.000370547648264        -69.1210293114                
R3_L1+2             0.00110440939774         -7.96588352142                
R3_L1+1             0.0011390168171          -5.08193190843                
CMD_L0-             0.00206392432277         71.9936935646                 
CMD_L0+             -0.022432901589          -1969.40846575                
HV4A                0.00143795652592         19.8297104937                 
-DATA               0.00105451376639         -12.1238528009                
BC_STAVE+           0.0336974395114          2708.11995928                 
I2CCLK              0.00109813304136         -8.48891322041                
BC_STAVE-           0.00339915021245         183.262517704                 
+DATA               0.00110551889009         -7.87342582614                
LVPOS               0.001431711146           19.3092621664                 
ACGND2              0.00203029503114         69.1912525953                 
BC_STAVE-1          0.000967790869834        -19.3507608471                
BC_STAVE-2          0.00101680866046         -15.2659449617                
BC_STAVE-3          0.00113960300852         -5.03308262343                
HV3A                0.00134974186066         12.4784883879                 
HV1A                0.00146492793363         22.0773278025                 
BC_STAVE+2          0.00112961801938         -5.86516505142                
BC_STAVE+3          0.00108514043876         -9.5716301036                 
BC_STAVE+1          0.00112948807448         -5.87599379295                
I2CDAT              0.00107660708862         -10.282742615                 
R3_L1-              0.00250420168067         108.683473389                 
CMD_L0-1            0.00101789903281         -15.1750805995                
CMD_L0-2            0.00101921907226         -15.0650773121                
CMD_L0-3            0.00113835437044         -5.13713579629                
CMD_L0+2            0.00106314655271         -11.4044539405                
CMD_L0+3            0.00101458931859         -15.4508901173                
CMD_L0+1            0.00108841242786         -9.29896434468                
