Network             Gradient x Width         % Difference from Nominal Value
LVRET_P             -0.000546081610828       -145.506800902                
I2CGND              0.00105967771026         -11.6935241449                
HV2A                0.00133712405555         11.4270046291                 
R3_L1-1             0.000967303647016        -19.3913627487                
R3_L1-3             0.00103661367395         -13.6155271708                
R3_L1-2             0.000998421388618        -16.7982176151                
HVRET               0.00112293658443         -6.42195129737                
R3_L1+3             0.0012177671094          1.48059245                    
R3_L1+2             0.00134061584402         11.717987002                  
R3_L1+1             0.00111253071623         -7.28910698087                
CMD_L0-             0.00505948115236         321.623429363                 
CMD_L0+             0.000520763786887        -56.6030177594                
HV4A                0.00148589658118         23.8247150981                 
-DATA               0.00108597056103         -9.50245324779                
BC_STAVE+           0.35462767207            29452.3060058                 
I2CCLK              0.00107093582291         -10.7553480912                
BC_STAVE-           0.00629842539365         424.868782804                 
+DATA               0.001111402022           -7.38316483358                
LVPOS               -0.0012944606414         -207.871720117                
ACGND2              0.00155773065053         29.8108875441                 
BC_STAVE-1          0.000985447258128        -17.879395156                 
BC_STAVE-2          0.00109596432505         -8.66963957958                
BC_STAVE-3          0.00113030944132         -5.80754655653                
HV3A                0.00140581771702         17.1514764184                 
HV1A                0.00143450757099         19.5422975824                 
BC_STAVE+2          0.00111589365167         -7.00886236049                
BC_STAVE+3          0.0011538154832          -3.84870973298                
BC_STAVE+1          0.00108843205253         -9.29732895549                
I2CDAT              0.00107993036561         -10.0058028656                
R3_L1+              -0.00306454109271        -355.378424393                
R3_L1-              0.00174789915966         45.6582633053                 
CMD_L0-1            0.0010266794462          -14.4433794836                
CMD_L0-2            0.00104595704987         -12.8369125112                
CMD_L0-3            0.00119341328805         -0.548892662894               
CMD_L0+2            0.00105239640155         -12.3002998712                
CMD_L0+3            0.000977024176997        -18.5813185836                
CMD_L0+1            0.00103734941929         -13.5542150591                
