Network             Gradient x Width         % Difference from Nominal Value
LVRET_P             0.000386562532406        -67.7864556328                
I2CGND              0.00107332718978         -10.5560675181                
HV2A                0.00133088971234         10.9074760283                 
R3_L1-1             0.00108738693853         -9.38442178889                
R3_L1-3             0.00112245962595         -6.46169783776                
R3_L1-2             0.000974438962488        -18.796753126                 
HVRET               0.00104920732885         -12.5660559294                
R3_L1+3             0.00121101952175         0.918293478789                
R3_L1+2             0.0011068447137          -7.76294052496                
R3_L1+1             0.00113417589716         -5.48534190371                
CMD_L0-             -0.000100329654579       -108.360804548                
CMD_L0+             0.00209640806516         74.7006720969                 
HV4A                0.00136602082996         13.8350691632                 
-DATA               0.00103501505129         -13.7487457259                
BC_STAVE+           0.000493305144468        -58.891237961                 
I2CCLK              0.00108331778183         -9.72351818071                
BC_STAVE-           0.00168707823044         40.5898525369                 
+DATA               0.00111610283795         -6.99143017075                
LVPOS               0.00179233011886         49.3608432384                 
ACGND2              -5.66894374125e-05       -104.724119784                
BC_STAVE-1          0.00104524772418         -12.8960229848                
BC_STAVE-2          0.00112575474185         -6.18710484546                
BC_STAVE-3          0.00117209241713         -2.32563190559                
HV3A                0.00127813373675         6.51114472926                 
HV1A                0.00145694872022         21.4123933515                 
BC_STAVE+2          0.00114326903925         -4.72758006238                
BC_STAVE+3          0.0011876412597          -1.02989502468                
BC_STAVE+1          0.00112307688447         -6.41025962735                
I2CDAT              0.00108162428429         -9.8646429758                 
R3_L1+              0.000634576690915        -47.1186090904                
R3_L1-              0.00154621848739         28.8515406162                 
CMD_L0-1            0.00106527118842         -11.2274009652                
CMD_L0-2            0.00108646467333         -9.46127722244                
CMD_L0-3            0.00120154836753         0.129030627132                
CMD_L0+2            0.00103706844325         -13.5776297295                
CMD_L0+3            0.00108291539042         -9.75705079793                
CMD_L0+1            0.0014076859668          17.3071638996                 
