Network             Gradient x Width         % Difference from Nominal Value
LVRET_P             0.000436316489127        -63.6402925727                
I2CGND              0.00114923973675         -4.23002193789                
HV2A                0.00146048588077         21.7071567309                 
R3_L1-1             0.00115991301682         -3.34058193199                
R3_L1-3             0.00124498153979         3.74846164916                 
R3_L1-2             0.00108616702594         -9.48608117171                
HVRET               0.00108553414952         -9.53882087321                
R3_L1+3             0.00086943998274         -27.546668105                 
R3_L1+2             0.00123500713047         2.91726087275                 
R3_L1+1             0.00127259611717         6.04967643096                 
CMD_L0-             0.00137594954852         14.6624623764                 
CMD_L0+             0.000173587928962        -85.5343392531                
HV4A                0.00154919599213         29.0996660111                 
-DATA               0.00113153393323         -5.70550556453                
BC_STAVE+           0.00106882781301         -10.9310155822                
I2CCLK              0.00116532517005         -2.88956916257                
BC_STAVE-           0.00166208447888         38.5070399067                 
+DATA               0.00120979660086         0.816383404758                
LVPOS               0.00100381251402         -16.3489571653                
ACGND2              -0.000721027044794       -160.085587066                
BC_STAVE-1          0.00113937313426         -5.05223881204                
BC_STAVE-2          0.00115891437835         -3.42380180375                
BC_STAVE-3          0.00116261871154         -3.11510737145                
HV3A                0.00138579073499         15.4825612493                 
HV1A                0.00157332809635         31.110674696                  
BC_STAVE+2          0.00114717456813         -4.4021193223                 
BC_STAVE+3          0.00138399880529         15.3332337738                 
BC_STAVE+1          0.00119456703387         -0.452747177585               
I2CDAT              0.00115176648656         -4.01945945344                
R3_L1+              -0.000681009131713       -156.750760976                
R3_L1-              0.000806722689076        -32.7731092437                
CMD_L0-1            0.00113154335573         -5.70472035605                
CMD_L0-2            0.00115515352187         -3.73720651124                
CMD_L0-3            0.00124254405374         3.54533781195                 
CMD_L0+2            0.00107878327912         -10.1013934069                
CMD_L0+3            0.00108475764491         -9.60352959093                
CMD_L0+1            0.00117201408065         -2.33215994554                
