Network             Gradient x Width         % Difference from Nominal Value
LVRET_P             6.75405139172e-05        -94.3716238402                
I2CGND              0.00104658173881         -12.7848550988                
HV2A                0.00141161397561         17.6344979672                 
R3_L1-1             0.000981783856274        -18.1846786438                
R3_L1-3             0.00106836419045         -10.9696507957                
R3_L1-2             0.000969525489482        -19.2062092098                
HVRET               0.00109276593745         -8.93617187891                
R3_L1+3             0.00119654408812         -0.287992656384               
R3_L1+2             0.00114754905774         -4.37091185541                
R3_L1+1             0.00121823233764         1.51936147024                 
CMD_L0-             0.00171993693565         43.3280779705                 
CMD_L0+             -0.0663773534517         -5631.44612098                
HV4A                0.00156913767022         30.7614725185                 
-DATA               0.0010586414888          -11.779875933                 
BC_STAVE+           0.00362931642001         202.443035001                 
I2CCLK              0.00108700848002         -9.41595999873                
BC_STAVE-           0.00152461884529         27.0515704407                 
+DATA               0.00122479907105         2.06658925383                 
LVPOS               0.000847723704867        -29.3563579278                
ACGND2              0.00115680651814         -3.59945682131                
BC_STAVE-1          0.000989973725423        -17.5021895481                
BC_STAVE-2          0.00107720917801         -10.2325684995                
BC_STAVE-3          0.00111654464857         -6.95461261909                
HV3A                0.00127253142013         6.04428501117                 
HV1A                0.00143637141044         19.6976175363                 
BC_STAVE+2          0.00112395715433         -6.33690380543                
BC_STAVE+3          0.00117755157931         -1.87070172441                
BC_STAVE+1          0.00112135369865         -6.55385844551                
I2CDAT              0.0010737362921          -10.5219756587                
R3_L1-              0.00201680672269         68.0672268908                 
CMD_L0-1            0.00104459876639         -12.9501028012                
CMD_L0-2            0.00102855380829         -14.2871826422                
CMD_L0-3            0.0011634734319          -3.04388067477                
CMD_L0+2            0.0010513275454          -12.3893712163                
CMD_L0+3            0.00100417892631         -16.3184228074                
CMD_L0+1            0.00106206131369         -11.4948905262                
