Network             Gradient x Width         % Difference from Nominal Value
LVRET_P             0.000454914809102        -62.0904325748                
I2CGND              0.00113902333744         -5.08138854661                
HV2A                0.00146936307256         22.4469227131                 
R3_L1-1             0.00118060370904         -1.61635758017                
R3_L1-3             0.00119768565331         -0.192862224506               
R3_L1-2             0.00105649232947         -11.9589725443                
HVRET               0.0010989137865          -8.42385112478                
R3_L1+3             0.00127641871832         6.3682265269                  
R3_L1+2             0.00114865364045         -4.27886329548                
R3_L1+1             0.00126021596662         5.01799721841                 
CMD_L0-             0.000100329654579        -91.6391954517                
CMD_L0+             -0.0020296434771         -269.136956425                
HV4A                0.00153663923972         28.0532699766                 
-DATA               0.00112975502764         -5.85374769658                
BC_STAVE+           0.00113929997651         -5.05833529089                
I2CCLK              0.00116162995053         -3.19750412254                
BC_STAVE-           0.000337415646088        -71.8820294926                
+DATA               0.00121168930719         0.974108932731                
LVPOS               0.00114644539134         -4.46288405472                
ACGND2              0.000190408048238        -84.1326626468                
BC_STAVE-1          0.00111852729352         -6.78939220633                
BC_STAVE-2          0.00114593598984         -4.50533417987                
BC_STAVE-3          0.0011769172338          -1.92356384992                
HV3A                0.00142412939698         18.6774497486                 
HV1A                0.00137370396477         14.4753303979                 
BC_STAVE+2          0.00140165659883         16.804716569                  
BC_STAVE+3          0.00121798438405         1.49869867111                 
BC_STAVE+1          0.00122965601034         2.47133419486                 
I2CDAT              0.00115837925383         -3.46839551396                
R3_L1-              0.000924369747899        -22.9691876751                
CMD_L0-1            0.00112301625383         -6.41531218104                
CMD_L0-2            0.00116617266769         -2.81894435912                
CMD_L0-3            0.00122561892724         2.13491060339                 
CMD_L0+2            0.00105402702064         -12.1644149464                
CMD_L0+3            0.000942049850204        -21.4958458163                
CMD_L0+1            0.00114707146609         -4.41071115955                
