Network             Gradient x Width         % Difference from Nominal Value
LVRET_P             0.000854652576011        -28.7789519991                
I2CGND              0.00112299361757         -6.41719853543                
HV2A                0.00146410827866         22.0090232213                 
R3_L1-1             0.0011660797765          -2.82668529192                
R3_L1-3             0.00122263724923         1.88643743561                 
R3_L1-2             0.0010717313956          -10.6890503663                
HVRET               0.00110416050214         -7.98662482142                
R3_L1+3             0.00145590009725         21.3250081044                 
R3_L1+2             0.0011598737783          -3.34385180843                
R3_L1+1             0.00125950777836         4.95898152973                 
CMD_L0-             0.00399885337538         233.237781281                 
CMD_L0+             -0.00126852717319        -205.710597766                
HV4A                0.00144477583315         20.3979860956                 
-DATA               0.00112340445104         -6.38296241295                
BC_STAVE+           0.000434578341555        -63.7851382037                
I2CCLK              0.00116304150953         -3.07987420612                
BC_STAVE-           0.000537365658585        -55.2195284512                
+DATA               0.00123903586425         3.25298868715                 
LVPOS               0.00177551020408         47.9591836735                 
ACGND2              -0.000686783871209       -157.231989267                
BC_STAVE-1          0.00117501532034         -2.08205663814                
BC_STAVE-2          0.00113989288167         -5.00892652773                
BC_STAVE-3          0.00114222476289         -4.81460309252                
HV3A                0.00138647923915         15.5399365958                 
HV1A                0.00146441437909         22.0345315907                 
BC_STAVE+2          0.00117574939656         -2.02088362034                
BC_STAVE+3          0.00137479329853         14.5661082108                 
BC_STAVE+1          0.00116864394216         -2.61300481977                
I2CDAT              0.00113548042055         -5.37663162055                
R3_L1+              -0.0344219161121         -2968.49300934                
R3_L1-              0.000924369747899        -22.9691876751                
CMD_L0-1            0.00115069141648         -4.10904862636                
CMD_L0-2            0.00114661729807         -4.44855849431                
CMD_L0-3            0.00120903186025         0.752655020542                
CMD_L0+2            0.00110023708417         -8.31357631931                
CMD_L0+3            0.00123887644974         3.23970414533                 
CMD_L0+1            0.00112894399804         -5.92133349671                
