Network             Gradient x Width         % Difference from Nominal Value
LVRET_P             -0.000312648454874       -126.054037906                
I2CGND              0.00108262862928         -9.78094756022                
HV2A                0.00136773154938         13.9776291147                 
R3_L1-1             0.00106572732251         -11.1893897907                
R3_L1-3             0.00113274115355         -5.60490387092                
R3_L1-2             0.000990359717363        -17.4700235531                
HVRET               0.00108328279984         -9.72643334667                
R3_L1+3             0.00158595419623         32.1628496861                 
R3_L1+2             0.00119506337211         -0.411385657387               
R3_L1+1             0.00116968175049         -2.52652079258                
CMD_L0-             0.00371219721944         209.349768286                 
CMD_L0+             0.00392575777807         227.146481506                 
HV4A                0.00149157291798         24.297743165                  
-DATA               0.00105101709714         -12.4152419053                
BC_STAVE+           0.00270143293399         125.119411166                 
I2CCLK              0.00109587786538         -8.67684455203                
BC_STAVE-           0.00369907523119         208.256269266                 
+DATA               0.00112135858833         -6.55345097276                
LVPOS               0.0017284144427          44.0345368917                 
ACGND2              0.00241251165862         101.042638218                 
BC_STAVE-1          0.0010440351085          -12.9970742918                
BC_STAVE-2          0.00108435083032         -9.63743080676                
BC_STAVE-3          0.00109401623197         -8.83198066913                
HV3A                0.0013404608314          11.7050692836                 
HV1A                0.00142877986839         19.0649890325                 
BC_STAVE+2          0.00100713568272         -16.0720264404                
BC_STAVE+3          0.00103016652485         -14.1527895959                
BC_STAVE+1          0.00110574651789         -7.85445684281                
I2CDAT              0.00109190609648         -9.00782529361                
R3_L1+              0.00622194706702         418.495588918                 
R3_L1-              0.00126050420168         5.04201680672                 
CMD_L0-1            0.00103768294387         -13.5264213439                
CMD_L0-2            0.00109437718731         -8.8019010578                 
CMD_L0-3            0.00115724667508         -3.56277707633                
CMD_L0+2            0.00104987931908         -12.5100567434                
CMD_L0+3            0.00109703065848         -8.5807784596                 
CMD_L0+1            0.00107148022192         -10.7099815066                
