Network             Gradient x Width         % Difference from Nominal Value
LVRET_P             0.000393435043576        -67.2137463686                
I2CGND              0.00112691989389         -6.09000884286                
HV2A                0.00147016917892         22.514098243                  
R3_L1-1             0.00116735988339         -2.72000971764                
R3_L1-3             0.00124329223415         3.60768617896                 
R3_L1-2             0.00107180338933         -10.6830508895                
HVRET               0.00111530815572         -7.05765368988                
R3_L1+3             0.00123293464206         2.74455350477                 
R3_L1+2             0.00112178762873         -6.51769760556                
R3_L1+1             0.00126035448971         5.02954080895                 
CMD_L0-             0.000272323348144        -77.3063876547                
CMD_L0+             0.000894645480037        -25.4462099969                
HV4A                0.00145595534305         21.3296119208                 
-DATA               0.00112908846676         -5.90929443671                
BC_STAVE+           0.00118628141884         -1.1432150967                 
I2CCLK              0.0011397106302          -5.02411415006                
BC_STAVE-           0.000274931267183        -77.0890610681                
+DATA               0.00121412878098         1.17739841541                 
LVPOS               0.00101659564925         -15.2836958959                
ACGND2              -0.000776435400241       -164.70295002                 
BC_STAVE-1          0.00117411077796         -2.15743517006                
BC_STAVE-2          0.00117815184474         -1.82067960506                
BC_STAVE-3          0.00113938466456         -5.051277953                  
HV3A                0.00143356331972         19.4636099768                 
HV1A                0.00146249945309         21.8749544243                 
BC_STAVE+2          0.00114613944064         -4.48837994641                
BC_STAVE+3          0.00141265597631         17.7213313588                 
BC_STAVE+1          0.00120821962773         0.684968977163                
I2CDAT              0.00113432587795         -5.47284350407                
R3_L1+              -0.0373471598824         -3212.26332353                
R3_L1-              0.000941176470588        -21.568627451                 
CMD_L0-1            0.00115221264425         -3.98227964616                
CMD_L0-2            0.00118166130799         -1.52822433451                
CMD_L0-3            0.00121088952805         0.907460670592                
CMD_L0+2            0.00110879683149         -7.60026404215                
CMD_L0+3            0.0011480964059          -4.32529950826                
CMD_L0+1            0.00115827119567         -3.47740036051                
