Network             Gradient x Width         % Difference from Nominal Value
LVRET_P             0.000342275756463        -71.4770202948                
I2CGND              0.0011496887227          -4.19260644186                
HV2A                0.0014540406963          21.1700580249                 
R3_L1-1             0.00118840361708         -0.96636524324                
R3_L1-3             0.00119895597065         -0.087002445745               
R3_L1-2             0.00106044868733         -11.6292760555                
HVRET               0.00109119321706         -9.0672319119                 
R3_L1+3             0.0010704068281          -10.7994309913                
R3_L1+2             0.00143305333013         19.4211108441                 
R3_L1+1             0.00121581472315         1.31789359575                 
CMD_L0-             -0.00275189909703        -329.324924753                
CMD_L0+             0.00132193884364         10.1615703031                 
HV4A                0.00139982184597         16.6518204975                 
-DATA               0.00112567591102         -6.19367408131                
BC_STAVE+           0.000540286586798        -54.9761177668                
I2CCLK              0.00115173445167         -4.02212902718                
BC_STAVE-           -0.000499875031242       -141.656252604                
+DATA               0.00120173942916         0.144952430172                
LVPOS               0.00124400089706         3.66674142184                 
ACGND2              0.000530483620985        -55.7930315846                
BC_STAVE-1          0.00112649700777         -6.12524935242                
BC_STAVE-2          0.00116315189944         -3.07067504704                
BC_STAVE-3          0.00113220546372         -5.64954468972                
HV3A                0.00142214848596         18.5123738298                 
HV1A                0.00148147146409         23.4559553406                 
BC_STAVE+2          0.0011675464995          -2.70445837522                
BC_STAVE+3          0.00114074530788         -4.93789100983                
BC_STAVE+1          0.00124021871669         3.35155972436                 
I2CDAT              0.00114726925268         -4.39422894338                
R3_L1+              0.00179538771088         49.6156425734                 
R3_L1-              0.000705882352941        -41.1764705882                
CMD_L0-1            0.00113493785061         -5.42184578229                
CMD_L0-2            0.00115992581291         -3.33951559092                
CMD_L0-3            0.00134069935655         11.7249463792                 
CMD_L0+2            0.00111565574921         -7.02868756574                
CMD_L0+3            0.000130827124686        -89.0977396095                
CMD_L0+1            0.00115491634295         -3.75697142108                
