Network             Gradient x Width         % Difference from Nominal Value
LVRET_P             0.000182353206055        -84.8038994954                
I2CGND              0.00114745820769         -4.37848269222                
HV2A                0.00150401125964         25.3342716367                 
R3_L1-1             0.00116000062018         -3.33328165171                
R3_L1-3             0.00115075711002         -4.10357416509                
R3_L1-2             0.00105979541179         -11.6837156845                
HVRET               0.00109009751056         -9.15854078689                
R3_L1+3             0.00126072742573         5.06061881048                 
R3_L1+2             0.00119159573963         -0.70035503114                
R3_L1+1             0.00125375730694         4.47977557816                 
CMD_L0-             -0.000157660885768       -113.138407147                
CMD_L0+             -9.34704232875e-05       -107.789201941                
HV4A                0.00141214107876         17.6784232301                 
-DATA               0.00113511091818         -5.40742348508                
BC_STAVE+           -0.000622504110876       -151.875342573                
I2CCLK              0.00115703669035         -3.58027580379                
BC_STAVE-           0.00034991252187         -70.8406231775                
+DATA               0.00129106752734         7.58896061131                 
LVPOS               0.00112424310383         -6.31307468042                
ACGND2              0.00117698083495         -1.91826375401                
BC_STAVE-1          0.00115622050131         -3.64829155726                
BC_STAVE-2          0.00114860534476         -4.28288793667                
BC_STAVE-3          0.00112988283757         -5.84309686932                
HV3A                0.00152475992862         27.0633273846                 
HV1A                0.00145434340958         21.1952841315                 
BC_STAVE+2          0.00117190185406         -2.341512162                  
BC_STAVE+3          0.00132383202383         10.3193353188                 
BC_STAVE+1          0.00119883707927         -0.0969100605344              
I2CDAT              0.00115090710145         -4.09107487946                
R3_L1-              0.000739495798319        -38.3753501401                
CMD_L0-1            0.00114601039813         -4.49913348879                
CMD_L0-2            0.00112857089408         -5.95242549322                
CMD_L0-3            0.00119347576453         -0.543686289199               
CMD_L0+2            0.00109659278693         -8.61726775572                
CMD_L0+3            0.000340044047292        -71.662996059                 
CMD_L0+1            0.00115071158733         -4.10736772278                
